epic_name,tm_name,epic_candname,pl_name,ra,ra_err,ra_str,dec,dec_err,dec_str,k2c_disp,k2c_refdisp,k2c_reflink,k2c_note,k2c_recentflag,k2_campaign_str,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metratio,st_rad,st_raderr1,st_raderr2,st_radlim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_kep,st_keperr,st_keplim,st_bj,st_bjerr,st_bjlim,st_vj,st_vjerr,st_vjlim,st_us,st_userr,st_uslim,st_gs,st_gserr,st_gslim,st_rs,st_rserr,st_rslim,st_is,st_iserr,st_islim,st_zs,st_zserr,st_zslim,st_j2,st_j2err,st_j2lim,st_h2,st_h2err,st_h2lim,st_k2,st_k2err,st_k2lim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_bmvj,st_bmvjerr,st_bmvjlim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,pl_fppprob,pl_fppproblim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_tranflag
EPIC 205999468,2MASS J22213759-1450221,EPIC 205999468.01,,335.406616,0.000000,22h21m37.59s,-14.839480,0.000000,-14d50m22.1s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4980.00,,,0,,,,,,,,,,0.76,,,0,,,,,12.932,,0,14.062,0.020,0,13.191,0.032,0,,,,13.583,0.032,0,12.910,0.041,0,12.653,0.062,0,,,,11.591,0.026,0,11.092,0.023,0,11.011,0.024,0,10.960,0.022,0,11.034,0.022,0,10.971,0.144,0,8.785,,-1,0.871,0.038,0,0.499,0.035,0,0.081,0.033,0,0.580,0.035,0,,,12.26335400,,,0,2456984.094000,,,0,0.068100,,,0,0.0608333,,,0,,,,,0.7300,,,0,,,,,0.02600,,,0,0.193,,,0,2.160,,,0,,,,,1
EPIC 206007892,2MASS J22281062-1435577,EPIC 206007892.01,K2-169 b,337.044281,0.000000,22h28m10.63s,-14.599381,0.000000,-14d35m57.8s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5347.00,,,0,,,,,,,,,,0.83,,,0,,,,,12.023,,0,12.966,0.010,0,12.229,0.060,0,,,,12.517,0.020,0,11.962,0.040,0,11.811,0.040,0,,,,10.791,0.021,0,10.458,0.024,0,10.371,0.021,0,10.343,0.023,0,10.403,0.020,0,10.253,0.064,0,9.069,,-1,0.737,0.061,0,0.333,0.032,0,0.087,0.032,0,0.420,0.030,0,,,6.37961000,,,0,2456982.017000,,,0,0.023900,,,0,0.1158333,,,0,,,,,0.1000,,,0,,,,,0.01388,,,0,0.126,,,0,1.410,,,0,,,,,1
EPIC 206008091,2MASS J22214817-1435359,EPIC 206008091.01,K2-170 c,335.450714,0.000000,22h21m48.17s,-14.593286,0.000000,-14d35m35.8s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5749.00,,,0,,,,,,,,,,0.98,,,0,,,,,12.506,,0,13.274,0.042,0,12.633,0.031,0,,,,12.910,0.031,0,12.480,0.041,0,12.333,0.061,0,,,,11.445,0.023,0,11.144,0.021,0,11.075,0.021,0,11.051,0.023,0,11.091,0.021,0,10.871,0.113,0,8.752,,-1,0.641,0.052,0,0.301,0.031,0,0.069,0.030,0,0.370,0.031,0,,,12.40073100,,,0,2456985.665000,,,0,0.032000,,,0,0.1687500,,,0,,,,,0.2100,,,0,,,,,0.01629,,,0,0.171,,,0,1.920,,,0,,,,,1
EPIC 206008091,2MASS J22214817-1435359,EPIC 206008091.02,K2-170 b,335.450714,0.000000,22h21m48.17s,-14.593286,0.000000,-14d35m35.8s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5749.00,,,0,,,,,,,,,,0.98,,,0,,,,,12.506,,0,13.274,0.042,0,12.633,0.031,0,,,,12.910,0.031,0,12.480,0.041,0,12.333,0.061,0,,,,11.445,0.023,0,11.144,0.021,0,11.075,0.021,0,11.051,0.023,0,11.091,0.021,0,10.871,0.113,0,8.752,,-1,0.641,0.052,0,0.301,0.031,0,0.069,0.030,0,0.370,0.031,0,,,7.57672060,,,0,2456986.184000,,,0,0.019600,,,0,0.1504167,,,0,,,,,0.3600,,,0,,,,,0.01287,,,0,0.134,,,0,1.500,,,0,,,,,1
EPIC 206011496,2MASS J22480755-1429407,EPIC 206011496.01,,342.031525,0.000000,22h48m07.57s,-14.494689,0.000000,-14d29m40.9s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5261.00,,,0,,,,,,,,,,0.81,,,0,,,,,10.916,,0,11.972,0.153,0,11.187,0.101,0,,,,11.389,0.010,0,10.900,0.030,0,10.714,0.090,0,,,,9.726,0.026,0,9.312,0.022,0,9.259,0.027,0,9.178,0.022,0,9.213,0.020,0,9.162,0.040,0,8.502,,-1,0.785,0.183,0,0.414,0.034,0,0.053,0.035,0,0.467,0.037,0,,,2.36904380,,,0,2456981.645000,,,0,0.033800,,,0,0.0958333,,,0,,,,,0.2800,,,0,,,,,0.01662,,,0,0.145,,,0,1.630,,,0,,,,,1
EPIC 206011691,2MASS J22411288-1429202,EPIC 206011691.01,K2-21 b,340.303680,0.000000,22h41m12.88s,-14.488987,0.000000,-14d29m20.4s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4024.00,,,0,,,,,,,,,,0.60,,,0,,,,,12.316,,0,14.126,0.030,0,12.846,0.030,0,,,,13.564,0.010,0,12.338,0.010,0,11.781,0.020,0,,,,10.251,0.021,0,9.633,0.021,0,9.417,0.020,0,9.407,0.023,0,9.379,0.020,0,9.399,0.042,0,9.031,0.528,0,1.280,0.042,0,0.618,0.030,0,0.216,0.029,0,0.834,0.029,0,,,9.32514980,,,0,2456980.096000,,,0,0.082100,,,0,0.1045833,,,0,,,,,0.5400,,,0,,,,,0.02673,,,0,0.169,,,0,1.890,,,0,,,,,1
EPIC 206011691,2MASS J22411288-1429202,EPIC 206011691.02,K2-21 c,340.303680,0.000000,22h41m12.88s,-14.488987,0.000000,-14d29m20.4s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4024.00,,,0,,,,,,,,,,0.60,,,0,,,,,12.316,,0,14.126,0.030,0,12.846,0.030,0,,,,13.564,0.010,0,12.338,0.010,0,11.781,0.020,0,,,,10.251,0.021,0,9.633,0.021,0,9.417,0.020,0,9.407,0.023,0,9.379,0.020,0,9.399,0.042,0,9.031,0.528,0,1.280,0.042,0,0.618,0.030,0,0.216,0.029,0,0.834,0.029,0,,,15.50410200,,,0,2456988.466000,,,0,0.120000,,,0,0.0945833,,,0,,,,,0.0000,,,0,,,,,0.03099,,,0,0.204,,,0,2.290,,,0,,,,,1
EPIC 206024342,2MASS J22050653-1407180,EPIC 206024342.01,,331.277222,0.000000,22h05m06.53s,-14.121665,0.000000,-14d07m18.0s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5648.00,,,0,,,,,,,,,,0.94,,,0,,,,,13.046,,0,13.771,0.040,0,13.116,0.030,0,,,,13.392,0.040,0,12.937,0.050,0,12.897,0.310,0,,,,11.846,0.022,0,11.533,0.023,0,11.487,0.023,0,11.435,0.023,0,11.495,0.022,0,11.597,0.241,0,8.202,,-1,0.655,0.050,0,0.313,0.032,0,0.046,0.033,0,0.359,0.032,0,,,14.64154100,,,0,2456985.482000,,,0,0.082500,,,0,0.1945833,,,0,,,,,0.9400,,,0,,,,,0.03369,,,0,0.262,,,0,2.940,,,0,,,,,1
EPIC 206024342,2MASS J22050653-1407180,EPIC 206024342.02,,331.277222,0.000000,22h05m06.53s,-14.121665,0.000000,-14d07m18.0s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,1,3,,,,,,,,,5648.00,,,0,,,,,,,,,,0.94,,,0,,,,,13.046,,0,13.771,0.040,0,13.116,0.030,0,,,,13.392,0.040,0,12.937,0.050,0,12.897,0.310,0,,,,11.846,0.022,0,11.533,0.023,0,11.487,0.023,0,11.435,0.023,0,11.495,0.022,0,11.597,0.241,0,8.202,,-1,0.655,0.050,0,0.313,0.032,0,0.046,0.033,0,0.359,0.032,0,,,0.91165670,,,0,2456980.070000,,,0,0.017400,,,0,0.0704167,,,0,,,,,0.9600,,,0,,,,,0.01593,,,0,0.120,,,0,1.350,,,0,,,,,1
EPIC 206026136,2MASS J22504600-1404116,EPIC 206026136.01,K2-57 b,342.691711,0.000000,22h50m46.01s,-14.069886,0.000000,-14d04m11.6s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4388.00,,,0,,,,,,,,,,0.68,,,0,,,,,14.101,,0,15.679,0.040,0,14.501,0.050,0,,,,15.145,0.040,0,14.037,0.010,0,13.654,0.010,0,,,,12.350,0.024,0,11.761,0.021,0,11.645,0.023,0,11.586,0.023,0,11.639,0.021,0,11.506,0.217,0,8.579,,-1,1.178,0.064,0,0.589,0.032,0,0.116,0.031,0,0.705,0.033,0,,,9.00715600,,,0,2456984.335000,,,0,0.118000,,,0,0.1058333,,,0,,,,,0.3100,,,0,,,,,0.03054,,,0,0.226,,,0,2.530,,,0,,,,,1
